"Name_of_the_State","NUMBER","_INVESTMENT","EMPLOYMENT","Last_Updated"
"ANDAMAN & NICOBAR","15","971","3641","10-11-2022"
"ANDHRA PRADESH","4764","911897","1202512","10-11-2022"
"ARUNACHAL PRADESH","67","4299","10514","10-11-2022"
"ASSAM","919","65175","145584","10-11-2022"
"BIHAR","572","186724","122266","10-11-2022"
"CHANDIGARH","53","1090","9203","10-11-2022"
"CHATTISGARH","3590","1543524","1287087","10-11-2022"
"DADRA & NAGAR HAVELI","2494","71795","375601","10-11-2022"
"DAMAN & DIU","1217","15109","148840","10-11-2022"
"DELHI","700","28037","73515","10-11-2022"
"GOA","893","36504","99647","10-11-2022"
"GUJARAT","14195","2126119","2903543","10-11-2022"
"HARYANA","4992","136715","854925","10-11-2022"
"HIMACHAL PRADESH","1160","43410","207776","10-11-2022"
"JAMMU AND KASHMIR (UT)","781","22137","139527","10-11-2022"
"JHARKHAND","1215","483206","436637","10-11-2022"
"KARNATAKA","5446","1564794","2116945","10-11-2022"
"KERALA","696","38606","8080190","10-11-2022"
"LAKSHADWEEP","1","4","278","10-11-2022"
"MADHYA PRADESH","4766","926199","1356772","10-11-2022"
"MAHARASHTRA","20048","1691353","20264725","10-11-2022"
"MANIPUR","13","288","2435","10-11-2022"
"MEGHALAYA","323","17826","41021","10-11-2022"
"MIZORAM","4","295","580","10-11-2022"
"NAGALAND","18","16437","302849","10-11-2022"
"ODISHA","2219","1896174","1018224","10-11-2022"
"PUDUCHERRY","801","14525","102444","10-11-2022"
"PUNJAB","3702","166834","849247","10-11-2022"
"RAJASTHAN","4560","358322","1094453","10-11-2022"
"SIKKIM","190","8482","34854","10-11-2022"
"TAMIL NADU","8490","528918","2565192","10-11-2022"
"TELANGANA","4344","219736","673166","10-11-2022"
"TRIPURA","54","2819","6692","10-11-2022"
"UTTAR PRADESH","8255","404871","16218074","10-11-2022"
"UTTARAKHAND","2535","90478","487081","10-11-2022"
"WEST BENGAL","5496","709071","1379562","10-11-2022"
"GRAND TOTAL","109588","14332744","64615602","10-11-2022"
